file_name,utterance,context,sarcasm
1_60.wav,It's just a privilege to watch your mind at work.,"['I never would have identified the fingerprints of string theory in the aftermath of the Big Bang.', ""My apologies. What's your plan?""]",True
1_70.wav,I don't think I'll be able to stop thinking about it.,"['This is one of my favorite places to kick back after a quest. They have a great house ale.', 'Cool tiger.', ""Yeah, I've had him since level ten."", 'His name is Buttons.', 'Anyway, if you had your own game character we could hang out, maybe go on a quest.', 'That sounds interesting.', ""You'll think about it?""]",True
1_80.wav,"Since it's not bee season, you can have my epinephrine.","['Here we go. Pad thai, no peanuts.', 'But does it have peanut oil?', ""I'm not sure. Everyone keep an eye on Howard in case he starts to swell up.""]",False
1_90.wav,"Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.","['A marathon? How many Superman movies are there?', ""You're kidding, right?"", 'I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her. Which one was that?', 'One.', 'You realize that scene was rife with scientific inaccuracy.', ""Yes, I know, men can't fly."", ""Let's assume that they can.""]",False
1_105.wav,I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,"[""Great Caesar's ghost, look at this place."", ""So Penny's a little messy."", 'A little messy?', 'The Mandelbrot set of complex numbers is a little messy. This is chaos.', 'Excuse me.', 'Explain to me an organizational system where a tray of flatware on a couch is valid.']",True
1_162.wav,"Sheldon, if you were a robot, and I knew and you didn't...","['On the other hand, no arousal.', 'None?', 'None.', 'Thank you for your time.', 'Thank you.', 'None at all?']",False
1_175.wav,"If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.","['Oh, good Lord.', ""God, that's a good song.""]",True
1_182.wav,No. The dark crescent-shaped patterns under your arms conceal it nicely.,"['How do I look?', 'Could you be more specific?', ""Can you tell I'm perspiring a little?""]",True
1_213.wav,"How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.","['You know, I am not going to enjoy this party.', ""I know, I'm familiar with you."", 'The last department party, Professor Finkleday cornered me and talked about spelunking for 45 minutes.', 'Yes, I was there.', ""You know what's interesting about caves?"", 'What?', 'Nothing.', ""Then we'll avoid him, we'll meet the new department head, congratulate him, shake his hand and go.""]",True
1_276.wav,"Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.","['He switched over to high-energy radiation research, had a little mishap, and now the other guys are uncomfortable sitting next to him.', ""You're in?"", 'Yeah, sure, why not?', 'Great, we rehearse on Tuesdays at your place.', 'Why at my place?', 'Department of Energy said our regular space is kind of a hot zone.', 'Nice meeting you.', ""Yeah, you, too.\nLeonard, I didn't know you played the cello.""]",True
